Usia Kepala Rumah Tangga,Pendidikan Terakhir,Status Petani,Jumlah Tanggungan Keluarga (termasuk Kepala Keluarga),Luas lahan yang dikelola,Status Kepemilikan Lahan,Komoditas Utama yang ditanam,Pola Tanam,Sistem Irigasi,Frekuensi Panen per Tahun,Produksi Rata - Rata per Panen (Kwintal/Ha),Harga Jual Rata-Rata Hasil Panen Utama (Rp/kg),Pernah Gagal Panen dalam 5 Tahun Terakhir?,Pengeluaran Rata-Rata Benih per Tahun (Rp),Pengeluaran Rata-Rata Pupuk per Tahun (Rp),Pengeluaran Rata-Rata Biaya Perawatan per Tahun (Rp),Stok Pupuk Saat Ini,Menerima Subsidi Benih/Pupuk Pemerintah?,Pernah Mengikuti Pelatihan dari Dinas/Kementerian?,Sumber Utama Pangan Pokok,Pernah Kehabisan Pangan Pokok dalam 3 Bulan Terakhir?,Status Kemandirian Pangan Rumah Tangga,Cadangan Pangan Keluarga dari Hasil Panen?,Strategi Saat Kekurangan Pangan atau Gagal Panen,Keikutsertaan dalam Koperasi atau Organisasi Tani,Pernah Menerima Bantuan Pangan Pemerintah?,Sumber Pinjaman Utama Saat Darurat,"Akses ke Informasi Pertanian (cuaca, harga, dll)",Sumber Informasi Pertanian Utama,Apakah mempunyai pekerjaan sampingan?,Pernah Terdampak Kekeringan Ekstrem dalam 5 Tahun Terakhir?,Kondisi Tanah Dominan (berdasarkan persepsi petani),Apakah pola tanam berubah akibat iklim?
65,SD,Petani Pemilik,7,1.45,Milik Sendiri,Jagung,Rotasi,Irigasi Teknis,1,5.54,3260,Ya,696493,1417034,1975850,Ada,Ya,Tidak,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Bank,Sedang,Penyuluh,Ya,Tidak,Subur,Ya
49,SD,Petani Penggarap,4,3.06,Milik Sendiri,Cabai,Rotasi,Irigasi Teknis,4,2.47,5401,Tidak,1710795,1306516,3955188,Ada,Ya,Ya,Beli Pasar,Ya,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sedang,Penyuluh,Tidak,Tidak,Subur,Tidak
29,Sarjana,Buruh Tani,3,2.72,Milik Sendiri,Jagung,Tumpangsari,Sumur,3,7.94,7562,Ya,1935740,1860140,4535177,Ada,Ya,Ya,Beli Pasar,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Ya,Tetangga,Sedang,Internet,Tidak,Ya,Sedang,Ya
40,Sarjana,Buruh Tani,4,3.76,Sewa,Bawang,Tumpangsari,Sumur,2,7.98,4133,Tidak,690650,697620,4611727,Ada,Ya,Ya,Bantuan,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sedang,Tetangga,Ya,Ya,Kurang Subur,Tidak
46,SD,Petani Penggarap,5,0.87,Milik Sendiri,Kedelai,Rotasi,Irigasi Teknis,1,7.22,5444,Ya,820527,2068308,4198202,Ada,Ya,Tidak,Beli Pasar,Ya,Mandiri,Tidak,Kurangi Konsumsi,Ya,Ya,Koperasi,Sulit,Penyuluh,Ya,Tidak,Subur,Ya
33,Diploma,Buruh Tani,3,1.4,Bagi Hasil,Cabai,Monokultur,Tadah Hujan,2,6.28,6268,Tidak,1418762,2670870,2893670,Ada,Ya,Ya,Panen Sendiri,Tidak,Mandiri,Ya,Jual Aset,Ya,Ya,Koperasi,Sulit,Tetangga,Ya,Ya,Subur,Ya
46,SD,Buruh Tani,3,1.46,Sewa,Jagung,Rotasi,Irigasi Teknis,4,3.46,6874,Tidak,899318,895631,1406557,Habis,Tidak,Tidak,Beli Pasar,Tidak,Tidak Mandiri,Ya,Jual Aset,Ya,Ya,Bank,Sulit,Internet,Ya,Ya,Subur,Ya
59,Diploma,Petani Pemilik,5,1.0,Sewa,Jagung,Monokultur,Sumur,1,2.3,7428,Ya,695586,1491447,1697559,Habis,Tidak,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Tidak,Bank,Sedang,Internet,Tidak,Tidak,Subur,Ya
43,SMP,Petani Pemilik,6,3.71,Milik Sendiri,Kedelai,Monokultur,Irigasi Teknis,4,5.02,7350,Ya,619285,2629987,1336011,Ada,Ya,Ya,Bantuan,Ya,Rentan,Ya,Jual Aset,Ya,Ya,Tetangga,Mudah,Internet,Tidak,Tidak,Subur,Tidak
40,SMA,Petani Penggarap,3,3.39,Sewa,Cabai,Tumpangsari,Irigasi Teknis,1,4.75,7612,Ya,653638,2755002,1894033,Habis,Ya,Tidak,Panen Sendiri,Ya,Rentan,Tidak,Pinjam Uang,Tidak,Tidak,Tetangga,Sulit,Tetangga,Ya,Tidak,Kurang Subur,Ya
33,SMA,Petani Pemilik,2,3.74,Milik Sendiri,Kedelai,Tumpangsari,Tadah Hujan,2,6.31,4667,Tidak,1559919,2549051,2053278,Ada,Ya,Tidak,Beli Pasar,Ya,Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Tetangga,Sedang,Tetangga,Tidak,Ya,Subur,Ya
34,Sarjana,Petani Pemilik,4,2.95,Milik Sendiri,Cabai,Monokultur,Irigasi Teknis,3,4.19,3326,Tidak,940562,1546603,3797321,Ada,Tidak,Tidak,Bantuan,Ya,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Koperasi,Sulit,Internet,Tidak,Ya,Sedang,Ya
31,Diploma,Petani Pemilik,5,1.19,Sewa,Kedelai,Tumpangsari,Irigasi Teknis,2,2.14,4582,Tidak,1188415,1668545,4625359,Ada,Tidak,Tidak,Bantuan,Tidak,Tidak Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Koperasi,Sulit,Internet,Ya,Ya,Kurang Subur,Tidak
47,SMA,Petani Penggarap,6,4.92,Milik Sendiri,Cabai,Rotasi,Irigasi Teknis,3,2.27,6572,Ya,1590351,2758431,3880887,Ada,Tidak,Tidak,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Jual Aset,Ya,Tidak,Tetangga,Sedang,Tetangga,Tidak,Tidak,Sedang,Tidak
60,SMP,Petani Pemilik,5,3.36,Sewa,Jagung,Rotasi,Tadah Hujan,3,4.44,3003,Tidak,1101701,1381570,2803081,Habis,Tidak,Tidak,Beli Pasar,Ya,Tidak Mandiri,Tidak,Jual Aset,Ya,Ya,Bank,Sulit,Tetangga,Tidak,Ya,Subur,Tidak
39,SMP,Petani Pemilik,2,0.33,Sewa,Bawang,Monokultur,Sumur,4,7.32,7715,Ya,1960360,2110522,3073568,Habis,Ya,Ya,Bantuan,Ya,Mandiri,Tidak,Pinjam Uang,Ya,Tidak,Koperasi,Sulit,Penyuluh,Ya,Tidak,Subur,Tidak
58,Sarjana,Buruh Tani,4,4.76,Sewa,Bawang,Rotasi,Tadah Hujan,4,6.98,7488,Tidak,833778,2490928,2887729,Habis,Ya,Tidak,Bantuan,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Ya,Tetangga,Sedang,Penyuluh,Tidak,Tidak,Sedang,Ya
33,SMP,Petani Pemilik,5,3.5,Bagi Hasil,Jagung,Monokultur,Sumur,4,3.99,6816,Tidak,630580,1367526,4493398,Habis,Tidak,Ya,Bantuan,Tidak,Rentan,Ya,Kurangi Konsumsi,Tidak,Tidak,Bank,Sulit,Tetangga,Ya,Tidak,Subur,Tidak
52,Diploma,Petani Pemilik,5,1.75,Bagi Hasil,Cabai,Rotasi,Irigasi Teknis,4,7.52,7375,Ya,1326320,2982578,3367231,Ada,Ya,Tidak,Panen Sendiri,Tidak,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Sedang,Internet,Tidak,Tidak,Sedang,Tidak
41,SD,Petani Penggarap,2,3.77,Milik Sendiri,Kedelai,Monokultur,Tadah Hujan,1,6.69,3329,Ya,1018590,1336179,4519980,Ada,Ya,Ya,Panen Sendiri,Tidak,Tidak Mandiri,Ya,Jual Aset,Ya,Tidak,Tetangga,Sedang,Internet,Ya,Ya,Subur,Tidak
31,Sarjana,Petani Pemilik,4,2.92,Sewa,Cabai,Rotasi,Irigasi Teknis,1,5.55,4989,Ya,1962119,1764929,4566388,Ada,Ya,Tidak,Bantuan,Tidak,Tidak Mandiri,Tidak,Pinjam Uang,Tidak,Ya,Bank,Sedang,Penyuluh,Tidak,Tidak,Kurang Subur,Tidak
34,Diploma,Petani Pemilik,7,2.66,Bagi Hasil,Kedelai,Rotasi,Tadah Hujan,4,4.79,7853,Tidak,1175921,1529681,4484338,Ada,Tidak,Tidak,Panen Sendiri,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Bank,Mudah,Internet,Ya,Tidak,Sedang,Tidak
42,Sarjana,Buruh Tani,4,2.82,Bagi Hasil,Jagung,Monokultur,Irigasi Teknis,4,4.93,4968,Tidak,1854556,2558653,2879780,Ada,Ya,Tidak,Panen Sendiri,Tidak,Tidak Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sulit,Internet,Tidak,Tidak,Sedang,Tidak
42,SMA,Petani Penggarap,3,0.69,Milik Sendiri,Kedelai,Monokultur,Tadah Hujan,2,3.15,6966,Tidak,1736453,2700486,3503121,Habis,Ya,Ya,Beli Pasar,Ya,Rentan,Ya,Kurangi Konsumsi,Ya,Ya,Bank,Mudah,Penyuluh,Tidak,Ya,Kurang Subur,Tidak
31,SD,Buruh Tani,4,2.4,Sewa,Kedelai,Monokultur,Irigasi Teknis,3,7.65,6913,Ya,637035,2180688,3062534,Ada,Ya,Ya,Panen Sendiri,Tidak,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Tetangga,Sedang,Internet,Tidak,Tidak,Kurang Subur,Tidak
44,Sarjana,Buruh Tani,2,3.09,Bagi Hasil,Padi,Monokultur,Tadah Hujan,2,3.59,3665,Ya,1003033,1229026,3315223,Ada,Ya,Ya,Beli Pasar,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Ya,Bank,Sulit,Internet,Tidak,Ya,Kurang Subur,Ya
41,Sarjana,Buruh Tani,3,2.18,Bagi Hasil,Jagung,Rotasi,Irigasi Teknis,3,6.96,3584,Ya,847965,1790217,3495795,Habis,Tidak,Ya,Beli Pasar,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Sulit,Penyuluh,Tidak,Tidak,Kurang Subur,Tidak
26,SD,Petani Pemilik,7,4.2,Bagi Hasil,Bawang,Monokultur,Tadah Hujan,3,5.46,4435,Tidak,1588346,2354844,4842287,Habis,Ya,Tidak,Bantuan,Tidak,Mandiri,Tidak,Kurangi Konsumsi,Tidak,Tidak,Bank,Sulit,Penyuluh,Ya,Tidak,Sedang,Tidak
43,Diploma,Buruh Tani,2,2.33,Sewa,Kedelai,Tumpangsari,Irigasi Teknis,4,7.19,3009,Tidak,1366642,727348,1786778,Habis,Tidak,Tidak,Panen Sendiri,Ya,Rentan,Ya,Kurangi Konsumsi,Tidak,Tidak,Koperasi,Mudah,Tetangga,Ya,Ya,Sedang,Ya
60,Diploma,Petani Pemilik,3,4.96,Milik Sendiri,Cabai,Monokultur,Tadah Hujan,2,4.99,5390,Tidak,1371346,2523749,2980633,Ada,Tidak,Ya,Beli Pasar,Ya,Tidak Mandiri,Ya,Pinjam Uang,Tidak,Tidak,Bank,Sulit,Internet,Ya,Tidak,Kurang Subur,Tidak
62,Sarjana,Buruh Tani,5,4.34,Sewa,Bawang,Tumpangsari,Sumur,3,5.31,7451,Tidak,1454926,1849632,4647373,Ada,Ya,Tidak,Panen Sendiri,Tidak,Mandiri,Tidak,Jual Aset,Tidak,Tidak,Bank,Sulit,Tetangga,Ya,Tidak,Subur,Ya
57,Sarjana,Petani Penggarap,2,4.38,Sewa,Padi,Rotasi,Sumur,1,6.33,6358,Ya,656926,2469186,4277954,Habis,Tidak,Tidak,Bantuan,Ya,Rentan,Tidak,Kurangi Konsumsi,Tidak,Ya,Tetangga,Mudah,Penyuluh,Tidak,Ya,Kurang Subur,Ya
52,SD,Buruh Tani,7,4.38,Sewa,Jagung,Rotasi,Sumur,1,2.28,3459,Tidak,1251752,2072197,2806431,Ada,Ya,Tidak,Bantuan,Ya,Mandiri,Ya,Pinjam Uang,Tidak,Ya,Bank,Sulit,Penyuluh,Ya,Tidak,Kurang Subur,Tidak
54,SMA,Buruh Tani,2,4.5,Sewa,Kedelai,Rotasi,Tadah Hujan,2,2.44,5830,Tidak,1839951,2279680,3895384,Habis,Tidak,Tidak,Panen Sendiri,Tidak,Rentan,Ya,Pinjam Uang,Tidak,Tidak,Tetangga,Sedang,Tetangga,Tidak,Ya,Kurang Subur,Tidak
42,SD,Buruh Tani,7,3.91,Milik Sendiri,Bawang,Rotasi,Sumur,3,6.65,4885,Tidak,959285,1297471,3604206,Habis,Ya,Ya,Bantuan,Ya,Rentan,Tidak,Pinjam Uang,Tidak,Ya,Koperasi,Sedang,Internet,Tidak,Ya,Subur,Ya
59,SMA,Buruh Tani,6,4.58,Milik Sendiri,Kedelai,Tumpangsari,Sumur,3,6.83,6836,Ya,795188,1446296,4607691,Habis,Tidak,Ya,Beli Pasar,Ya,Rentan,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sedang,Tetangga,Tidak,Ya,Kurang Subur,Ya
55,SD,Buruh Tani,6,1.71,Bagi Hasil,Jagung,Rotasi,Irigasi Teknis,4,7.46,5475,Tidak,744687,1086267,1190198,Ada,Tidak,Tidak,Panen Sendiri,Ya,Mandiri,Ya,Kurangi Konsumsi,Tidak,Tidak,Tetangga,Sulit,Tetangga,Tidak,Ya,Sedang,Ya
56,Sarjana,Petani Penggarap,4,0.26,Sewa,Jagung,Tumpangsari,Sumur,2,7.13,3813,Tidak,1641827,2004387,1253965,Habis,Tidak,Ya,Panen Sendiri,Tidak,Mandiri,Ya,Jual Aset,Ya,Ya,Bank,Mudah,Penyuluh,Ya,Ya,Kurang Subur,Ya
62,SMP,Petani Pemilik,4,3.89,Bagi Hasil,Padi,Tumpangsari,Irigasi Teknis,2,5.24,4429,Ya,1886338,608129,1552822,Ada,Tidak,Ya,Bantuan,Tidak,Mandiri,Ya,Kurangi Konsumsi,Ya,Ya,Tetangga,Sedang,Tetangga,Ya,Ya,Sedang,Tidak
48,Sarjana,Buruh Tani,2,2.31,Milik Sendiri,Bawang,Monokultur,Tadah Hujan,3,4.75,3255,Ya,1504497,2184504,2787921,Ada,Tidak,Tidak,Panen Sendiri,Ya,Rentan,Ya,Pinjam Uang,Ya,Tidak,Tetangga,Sulit,Tetangga,Tidak,Tidak,Kurang Subur,Tidak
54,Sarjana,Buruh Tani,5,0.59,Bagi Hasil,Padi,Rotasi,Tadah Hujan,2,4.58,4871,Tidak,1210791,2402112,2672395,Habis,Ya,Tidak,Beli Pasar,Tidak,Tidak Mandiri,Tidak,Kurangi Konsumsi,Ya,Tidak,Koperasi,Mudah,Penyuluh,Ya,Tidak,Subur,Tidak
